customer_id;plan_id;signup_date;termination_date;percentage_discount
C374473;PLN003;42758;43123;0.10
C126644;PLN004;42759;43124;0.00
C358640;PLN001;42759;;0.00
C283789;PLN005;42760;43125;0.05
C292552;PLN004;42760;43125;0.00
C394872;PLN004;42760;43125;0.00
C404328;PLN004;42760;43125;0.00
C435983;PLN006;42760;43125;0.03
C436205;PLN003;42760;43125;0.00
C196558;PLN003;42761;43126;0.00
C288331;PLN006;42761;43126;0.00
C365568;PLN004;42761;43126;0.00
C383623;PLN005;42761;43126;0.00
C435523;PLN006;42761;43126;0.00
C438147;PLN002;42761;;0.00
C457858;PLN004;42761;43126;0.00
C112113;PLN004;42762;43127;0.00
C132828;PLN005;42762;43127;0.00
C146853;PLN001;42762;;0.05
C330812;PLN003;42762;43127;0.00
C432308;PLN001;42762;;0.00
C162264;PLN006;42763;43128;0.00
C238457;PLN002;42763;;0.00
C108004;PLN005;42764;43129;0.00
C161888;PLN001;42764;;0.10
C313435;PLN004;42764;43129;0.00
C139916;PLN004;42765;43130;0.00
C363831;PLN003;42765;43130;0.04
C406914;PLN005;42765;43130;0.00
C339617;PLN003;42766;43131;0.00
C388327;PLN001;42766;;0.00
C4398;PLN001;42766;;0.00
C109901;PLN001;42768;;0.00
C146731;PLN005;42768;43133;0.00
C160769;PLN004;42796;43161;0.00
C272784;PLN001;42796;;0.00
C445589;PLN002;42796;;0.00
C196568;PLN002;42827;;0.00
C321928;PLN003;42827;43192;0.00
C402926;PLN006;42857;43222;0.00
C107154;PLN006;42888;43253;0.00
C139812;PLN004;42888;43253;0.00
C292630;PLN006;42888;43253;0.00
C371394;PLN006;42888;43253;0.00
C395367;PLN001;42888;;0.00
C422040;PLN005;42888;43253;0.00
C340940;PLN005;42918;43283;0.00
C359684;PLN006;42918;43283;0.00
C189638;PLN004;42949;43314;0.00
C238832;PLN001;42949;;0.00
C257453;PLN005;42949;43314;0.00
C17384;PLN003;42980;43345;0.00
C22521;PLN005;42980;43345;0.00
C229924;PLN006;42980;43345;0.00
C314786;PLN003;42980;43345;0.00
C344210;PLN003;42980;43345;0.00
C23738;PLN004;43010;43375;0.00
C31064;PLN004;43010;43375;0.00
C361099;PLN002;43010;;0.00
C364477;PLN001;43010;;0.00
C390244;PLN004;43010;43375;0.00
C121405;PLN006;43041;43406;0.00
C210610;PLN006;43041;43406;0.00
C373245;PLN004;43041;43406;0.00
C43362;PLN004;43041;43406;0.02
C440246;PLN002;43041;;0.00
C110516;PLN003;43071;43436;0.00
C167163;PLN005;43071;43436;0.03
C129416;PLN001;42779;;0.00
C267219;PLN005;42779;43144;0.00
C281448;PLN005;42779;43144;0.00
C295852;PLN002;42779;;0.00
C317648;PLN006;42779;43144;0.00
C431579;PLN004;42779;43144;0.00
C112706;PLN006;42780;43145;0.00
C166273;PLN004;42780;43145;0.00
C188437;PLN006;42780;43145;0.00
C304061;PLN005;42780;43145;0.00
C309826;PLN004;42780;43145;0.00
C340732;PLN001;42780;;0.00
C122813;PLN003;42781;43146;0.00
C157693;PLN004;42781;43146;0.00
C396927;PLN004;42781;43146;0.00
C397036;PLN001;42781;;0.00
C417119;PLN005;42781;43146;0.00
C126424;PLN005;42782;43147;0.00
C133321;PLN003;42782;43147;0.06
C216629;PLN002;42782;;0.00
C350279;PLN002;42782;;0.07
C367319;PLN001;42783;;0.00
C38830;PLN006;42784;43149;0.00
C124969;PLN006;42785;43150;0.00
C126040;PLN002;42785;;0.00
C226189;PLN004;42785;43150;0.08
C282091;PLN002;42785;;0.00
C357053;PLN006;42785;43150;0.05
C451062;PLN005;42785;43150;0.00
C145834;PLN002;42786;;0.00
C146427;PLN005;42786;43151;0.00
C181008;PLN006;42786;43151;0.00
C210985;PLN006;42786;43151;0.00
C240539;PLN005;42786;43151;0.00
C407930;PLN004;42786;43151;0.00
C179513;PLN006;42787;43152;0.00
C290968;PLN006;42787;43152;0.00
C337991;PLN004;42788;43153;0.00
C149598;PLN006;42789;43154;0.00
C157545;PLN003;42789;43154;0.00
C168861;PLN006;42789;43154;0.00
C22627;PLN002;42789;;0.00
C276106;PLN003;42789;43154;0.00
C380767;PLN004;42789;43154;0.01
C252293;PLN002;42790;;0.00
C294169;PLN006;42790;43155;0.00
C38187;PLN004;42790;43155;0.00
C130398;PLN006;42791;43156;0.00
C184430;PLN005;42791;43156;0.00
C196036;PLN003;42791;43156;0.00
C217093;PLN003;42791;43156;0.00
C337670;PLN003;42791;43156;0.00
C440745;PLN003;42791;43156;0.00
C161677;PLN006;42792;43157;0.06
C234373;PLN006;42792;43157;0.00
C263862;PLN001;42792;;0.05
C433931;PLN003;42792;43157;0.05
C360610;PLN005;42794;43159;0.00
C40258;PLN006;42794;43159;0.00
C449747;PLN003;42794;43159;0.00
C129416;PLN003;42738;43103;0.00
C372589;PLN003;42738;43103;0.00
C209292;PLN005;42769;43134;0.00
C41825;PLN003;42769;43134;0.00
C45521;PLN003;42769;43134;0.00
C344938;PLN001;42797;;0.00
C432427;PLN006;42797;43162;0.00
C272667;PLN006;42828;43193;0.00
C304167;PLN005;42828;43193;0.00
C415751;PLN001;42828;;0.00
C126462;PLN003;42858;43223;0.03
C14721;PLN004;42858;43223;0.00
C22627;PLN005;42858;43223;0.00
C441501;PLN004;42858;43223;0.00
C185759;PLN006;42889;43254;0.00
C265742;PLN002;42889;;0.00
C401533;PLN005;42889;43254;0.00
C446916;PLN002;42889;;0.00
C109347;PLN004;42919;43284;0.05
C356681;PLN002;42919;;0.10
C449838;PLN004;42919;43284;0.00
C102373;PLN005;42950;43315;0.00
C131623;PLN006;42950;43315;0.00
C134731;PLN006;42950;43315;0.00
C143719;PLN003;42950;43315;0.07
C360538;PLN001;42950;;0.00
C441108;PLN004;42950;43315;0.00
C15666;PLN002;42981;;0.00
C176004;PLN003;42981;43346;0.00
C263243;PLN006;42981;43346;0.00
C379358;PLN001;42981;;0.00
C435636;PLN001;42981;;0.00
C451810;PLN003;42981;43346;0.00
C139981;PLN003;43011;43376;0.09
C144295;PLN002;43011;;0.00
C166322;PLN006;43011;43376;0.00
C28559;PLN003;43011;43376;0.00
C433882;PLN003;43011;43376;0.00
C125243;PLN004;43042;43407;0.00
C291461;PLN006;43042;43407;0.00
C442418;PLN004;43042;43407;0.00
C310845;PLN001;43072;;0.00
C135226;PLN003;42807;43172;0.00
C180639;PLN001;42807;;0.00
C247312;PLN006;42807;43172;0.00
C320480;PLN006;42807;43172;0.00
C420894;PLN003;42807;43172;0.00
C166791;PLN006;42808;43173;0.00
C245245;PLN004;42808;43173;0.00
C291834;PLN006;42808;43173;0.00
C37315;PLN002;42808;;0.00
C218512;PLN002;42809;;0.00
C264322;PLN004;42809;43174;0.00
C110048;PLN006;42810;43175;0.00
C29613;PLN005;42810;43175;0.00
C311597;PLN001;42810;;0.00
C394872;PLN002;42810;;0.00
C141152;PLN002;42811;;0.00
C174805;PLN006;42811;43176;0.00
C311581;PLN001;42811;;0.00
C417637;PLN006;42811;43176;0.00
C100823;PLN004;42812;43177;0.00
C163645;PLN003;42813;43178;0.05
C351862;PLN002;42813;;0.00
C366950;PLN006;42813;43178;0.08
C424377;PLN004;42813;43178;0.00
C451376;PLN005;42813;43178;0.03
C41293;PLN003;42814;43179;0.00
C193590;PLN005;42815;43180;0.00
C269792;PLN003;42815;43180;0.00
C454079;PLN005;42815;43180;0.10
C175257;PLN003;42816;43181;0.00
C237838;PLN003;42816;43181;0.00
C431794;PLN006;42816;43181;0.00
C453534;PLN006;42816;43181;0.00
C142885;PLN006;42817;43182;0.00
C196558;PLN005;42817;43182;0.00
C218684;PLN005;42817;43182;0.06
C279313;PLN004;42817;43182;0.00
C234440;PLN005;42818;43183;0.00
C109377;PLN006;42819;43184;0.00
C150954;PLN005;42819;43184;0.00
C272011;PLN005;42819;43184;0.00
C375244;PLN001;42819;;0.00
C427404;PLN005;42819;43184;0.00
C428632;PLN005;42819;43184;0.01
C453894;PLN002;42819;;0.00
C207901;PLN006;42820;43185;0.00
C293406;PLN001;42820;;0.00
C316329;PLN003;42820;43185;0.00
C357733;PLN003;42820;43185;0.00
C191530;PLN003;42821;43186;0.00
C244935;PLN004;42821;43186;0.10
C3404;PLN002;42821;;0.00
C370563;PLN006;42821;43186;0.00
C394094;PLN003;42821;43186;0.00
C197929;PLN002;42822;;0.00
C20805;PLN005;42822;43187;0.00
C319528;PLN001;42822;;0.00
C322526;PLN004;42822;43187;0.00
C114297;PLN003;42823;43188;0.00
C141279;PLN002;42823;;0.00
C456879;PLN003;42823;43188;0.06
C359415;PLN002;42824;;0.07
C409605;PLN001;42824;;0.00
C16791;PLN005;42825;43190;0.01
C353158;PLN005;42825;43190;0.07
C416497;PLN001;42825;;0.04
C425915;PLN005;42825;43190;0.00
C442127;PLN001;42825;;0.04
C452784;PLN006;42825;43190;0.08
C403700;PLN002;42770;;0.00
C42433;PLN003;42770;43135;0.00
C123404;PLN006;42798;43163;0.00
C139925;PLN004;42798;43163;0.00
C265856;PLN005;42798;43163;0.00
C296856;PLN006;42798;43163;0.00
C130822;PLN006;42829;43194;0.00
C225885;PLN004;42829;43194;0.00
C285627;PLN006;42829;43194;0.00
C313444;PLN006;42829;43194;0.00
C212721;PLN002;42859;;0.00
C135895;PLN003;42890;43255;0.07
C201712;PLN002;42890;;0.00
C401285;PLN004;42890;43255;0.00
C452644;PLN006;42890;43255;0.01
C206792;PLN005;42920;43285;0.00
C414465;PLN003;42920;43285;0.00
C14162;PLN002;42951;;0.00
C161677;PLN005;42951;43316;0.00
C166011;PLN005;42951;43316;0.04
C286546;PLN001;42951;;0.00
C347342;PLN004;42951;43316;0.00
C178935;PLN002;42982;;0.00
C293056;PLN001;42982;;0.00
C318921;PLN002;42982;;0.00
C158835;PLN002;43012;;0.00
C366555;PLN004;43012;43377;0.00
C153397;PLN004;43043;43408;0.00
C262872;PLN006;43043;43408;0.00
C277094;PLN004;43043;43408;0.00
C256297;PLN004;43073;43438;0.00
C385121;PLN004;43073;43438;0.00
C194664;PLN001;42838;;0.00
C332893;PLN002;42838;;0.00
C358684;PLN004;42838;43203;0.04
C43777;PLN001;42838;;0.00
C215244;PLN003;42839;43204;0.00
C375240;PLN006;42839;43204;0.00
C356609;PLN004;42840;43205;0.00
C111905;PLN005;42841;43206;0.00
C339470;PLN002;42841;;0.00
C187774;PLN002;42842;;0.00
C299386;PLN003;42842;43207;0.00
C316329;PLN006;42842;43207;0.00
C387926;PLN005;42842;43207;0.08
C242587;PLN004;42843;43208;0.00
C299301;PLN006;42843;43208;0.00
C21163;PLN001;42844;;0.00
C458943;PLN003;42844;43209;0.04
C165038;PLN002;42845;;0.00
C112706;PLN002;42846;;0.00
C284489;PLN005;42846;43211;0.09
C216315;PLN006;42847;43212;0.00
C23309;PLN006;42847;43212;0.00
C336643;PLN003;42847;43212;0.00
C421439;PLN006;42847;43212;0.00
C110988;PLN005;42848;43213;0.00
C348867;PLN005;42848;43213;0.00
C398167;PLN004;42848;43213;0.00
C415307;PLN004;42848;43213;0.00
C160633;PLN005;42849;43214;0.00
C331005;PLN004;42849;43214;0.00
C332203;PLN005;42849;43214;0.00
C193771;PLN004;42850;43215;0.00
C354618;PLN004;42850;43215;0.04
C116158;PLN002;42851;;0.00
C335497;PLN002;42851;;0.07
C337129;PLN003;42851;43216;0.00
C434846;PLN002;42851;;0.00
C109150;PLN004;42852;43217;0.00
C127814;PLN004;42852;43217;0.03
C147222;PLN003;42852;43217;0.00
C291088;PLN004;42852;43217;0.00
C426063;PLN005;42852;43217;0.00
C188029;PLN006;42854;43219;0.00
C269569;PLN003;42854;43219;0.00
C312044;PLN001;42854;;0.00
C217768;PLN001;42855;;0.00
C244212;PLN004;42855;43220;0.00
C408575;PLN004;42855;43220;0.00
C227771;PLN006;42740;43105;0.09
C292689;PLN003;42740;43105;0.00
C439729;PLN003;42740;43105;0.00
C456644;PLN006;42740;43105;0.00
C106449;PLN005;42799;43164;0.00
C181467;PLN005;42799;43164;0.00
C33659;PLN003;42799;43164;0.00
C151861;PLN003;42830;43195;0.00
C228867;PLN004;42830;43195;0.00
C141303;PLN001;42860;;0.00
C141741;PLN003;42860;43225;0.08
C184724;PLN001;42891;;0.00
C244299;PLN004;42891;43256;0.00
C314802;PLN002;42891;;0.00
C200297;PLN006;42921;43286;0.00
C10444;PLN002;42952;;0.05
C200983;PLN006;42952;43317;0.00
C245789;PLN001;42952;;0.00
C355070;PLN003;42952;43317;0.00
C414080;PLN006;42952;43317;0.00
C408617;PLN002;42983;;0.00
C452860;PLN002;42983;;0.00
C189143;PLN006;43013;43378;0.00
C18943;PLN004;43044;43409;0.00
C239761;PLN006;43044;43409;0.00
C248666;PLN003;43044;43409;0.00
C263790;PLN003;43044;43409;0.06
C266675;PLN002;43044;;0.00
C287022;PLN004;43044;43409;0.00
C437337;PLN005;43044;43409;0.00
C198163;PLN006;43074;43439;0.00
C341997;PLN001;43074;;0.00
C369408;PLN003;43074;43439;0.00
C401571;PLN006;43074;43439;0.01
C176340;PLN005;42868;43233;0.00
C323932;PLN003;42868;43233;0.00
C135226;PLN006;42869;43234;0.00
C140722;PLN001;42869;;0.00
C151363;PLN004;42869;43234;0.00
C165524;PLN006;42869;43234;0.00
C264165;PLN002;42869;;0.00
C376768;PLN006;42869;43234;0.00
C446712;PLN002;42869;;0.00
C153139;PLN002;42870;;0.00
C211879;PLN006;42870;43235;0.00
C276212;PLN003;42870;43235;0.00
C352291;PLN003;42870;43235;0.02
C434272;PLN003;42870;43235;0.00
C365850;PLN006;42871;43236;0.00
C429396;PLN003;42871;43236;0.00
C436751;PLN005;42871;43236;0.00
C128639;PLN001;42872;;0.00
C147332;PLN002;42872;;0.03
C168424;PLN002;42872;;0.00
C275728;PLN004;42872;43237;0.00
C282091;PLN005;42872;43237;0.00
C399438;PLN002;42872;;0.00
C15353;PLN006;42873;43238;0.00
C164477;PLN004;42873;43238;0.00
C276538;PLN005;42873;43238;0.00
C44174;PLN001;42873;;0.00
C148955;PLN001;42874;;0.00
C188092;PLN002;42874;;0.00
C42784;PLN006;42874;43239;0.00
C111175;PLN005;42875;43240;0.00
C177830;PLN003;42875;43240;0.00
C177968;PLN004;42875;43240;0.00
C178625;PLN004;42875;43240;0.00
C274278;PLN002;42876;;0.00
C393862;PLN005;42876;43241;0.00
C147455;PLN003;42877;43242;0.00
C265473;PLN002;42877;;0.00
C350112;PLN001;42877;;0.00
C378755;PLN004;42877;43242;0.00
C237500;PLN003;42878;43243;0.00
C359410;PLN002;42878;;0.00
C350112;PLN003;42879;43244;0.00
C158432;PLN001;42880;;0.00
C193015;PLN006;42880;43245;0.00
C218395;PLN003;42880;43245;0.00
C281117;PLN003;42880;43245;0.00
C351837;PLN006;42880;43245;0.00
C142239;PLN005;42881;43246;0.00
C143321;PLN001;42881;;0.00
C202044;PLN003;42881;43246;0.00
C206792;PLN001;42881;;0.00
C258744;PLN005;42881;43246;0.00
C132462;PLN006;42882;43247;0.00
C198483;PLN005;42882;43247;0.00
C182924;PLN004;42883;43248;0.00
C191355;PLN002;42883;;0.00
C294010;PLN005;42884;43249;0.00
C301073;PLN002;42884;;0.00
C366171;PLN006;42884;43249;0.00
C38307;PLN004;42884;43249;0.00
C425013;PLN003;42884;43249;0.00
C3404;PLN005;42885;43250;0.00
C433479;PLN003;42885;43250;0.03
C242587;PLN002;42886;;0.00
C270227;PLN006;42886;43251;0.00
C330868;PLN004;42886;43251;0.06
C335229;PLN002;42886;;0.00
C430097;PLN003;42886;43251;0.00
C136554;PLN006;42741;43106;0.00
C14162;PLN003;42741;43106;0.00
C273580;PLN006;42741;43106;0.00
C319692;PLN003;42741;43106;0.07
C360348;PLN003;42741;43106;0.00
C368852;PLN004;42741;43106;0.10
C431840;PLN004;42741;43106;0.00
C439904;PLN006;42741;43106;0.00
C457141;PLN002;42741;;0.00
C31823;PLN002;42772;;0.00
C132847;PLN005;42800;43165;0.00
C205153;PLN006;42800;43165;0.00
C230769;PLN003;42800;43165;0.00
C267400;PLN001;42800;;0.07
C397794;PLN002;42800;;0.00
C439354;PLN005;42800;43165;0.00
C127814;PLN003;42831;43196;0.00
C151112;PLN004;42831;43196;0.00
C163118;PLN006;42831;43196;0.00
C345218;PLN004;42831;43196;0.00
C355671;PLN005;42831;43196;0.00
C378247;PLN003;42831;43196;0.00
C181098;PLN006;42861;43226;0.06
C281311;PLN001;42861;;0.00
C337957;PLN006;42861;43226;0.00
C348568;PLN001;42861;;0.00
C374473;PLN005;42861;43226;0.07
C102150;PLN003;42892;43257;0.00
C131764;PLN006;42892;43257;0.00
C238457;PLN003;42892;43257;0.00
C246849;PLN002;42892;;0.00
C267156;PLN004;42892;43257;0.00
C298377;PLN006;42892;43257;0.00
C338564;PLN005;42892;43257;0.03
C350333;PLN006;42892;43257;0.00
C436994;PLN001;42892;;0.00
C110028;PLN001;42922;;0.00
C424714;PLN001;42922;;0.00
C434850;PLN004;42922;43287;0.06
C441592;PLN005;42922;43287;0.00
C170616;PLN001;42953;;0.00
C184430;PLN006;42953;43318;0.00
C199295;PLN004;42953;43318;0.00
C40526;PLN002;42953;;0.00
C151886;PLN006;42984;43349;0.05
C169948;PLN005;42984;43349;0.00
C184415;PLN002;42984;;0.00
C18530;PLN001;42984;;0.00
C194599;PLN006;42984;43349;0.00
C283903;PLN002;42984;;0.00
C298675;PLN001;42984;;0.00
C393215;PLN003;42984;43349;0.00
C103223;PLN006;43014;43379;0.00
C201858;PLN005;43014;43379;0.00
C288457;PLN005;43014;43379;0.00
C421851;PLN003;43014;43379;0.00
C134818;PLN001;43045;;0.00
C143999;PLN001;43045;;0.00
C277398;PLN004;43045;43410;0.00
C279775;PLN005;43045;43410;0.00
C396421;PLN005;43045;43410;0.00
C103223;PLN001;43075;;0.01
C125411;PLN005;43075;43440;0.00
C207002;PLN003;43075;43440;0.00
C185643;PLN005;42899;43264;0.00
C238918;PLN003;42899;43264;0.00
C33362;PLN001;42899;;0.00
C410158;PLN004;42899;43264;0.00
C455374;PLN005;42899;43264;0.00
C165465;PLN002;42900;;0.07
C306338;PLN001;42900;;0.00
C338558;PLN006;42900;43265;0.00
C353354;PLN004;42900;43265;0.00
C386813;PLN005;42900;43265;0.00
C437337;PLN006;42900;43265;0.00
C129570;PLN003;42901;43266;0.00
C165524;PLN004;42901;43266;0.00
C279082;PLN006;42901;43266;0.00
C388990;PLN006;42901;43266;0.10
C153327;PLN004;42902;43267;0.00
C239192;PLN005;42902;43267;0.00
C274036;PLN005;42902;43267;0.00
C345016;PLN005;42902;43267;0.00
C457882;PLN005;42902;43267;0.00
C124251;PLN003;42903;43268;0.03
C295528;PLN002;42903;;0.00
C143157;PLN002;42904;;0.00
C378647;PLN006;42904;43269;0.00
C189864;PLN001;42905;;0.00
C252942;PLN003;42905;43270;0.00
C27186;PLN001;42905;;0.00
C319577;PLN002;42905;;0.00
C440246;PLN004;42905;43270;0.00
C458940;PLN005;42905;43270;0.00
C131683;PLN004;42906;43271;0.00
C160520;PLN006;42906;43271;0.08
C192710;PLN001;42906;;0.00
C23149;PLN003;42906;43271;0.00
C378850;PLN001;42906;;0.00
C173553;PLN001;42907;;0.00
C244474;PLN002;42907;;0.00
C336067;PLN006;42907;43272;0.06
C354612;PLN005;42907;43272;0.00
C391528;PLN006;42907;43272;0.00
C126044;PLN006;42908;43273;0.00
C214255;PLN001;42908;;0.00
C222687;PLN005;42908;43273;0.00
C126234;PLN003;42909;43274;0.07
C126686;PLN003;42909;43274;0.10
C260438;PLN004;42909;43274;0.00
C363737;PLN003;42909;43274;0.00
C369060;PLN004;42909;43274;0.00
C371656;PLN006;42909;43274;0.00
C288609;PLN003;42910;43275;0.00
C293255;PLN003;42910;43275;0.07
C374473;PLN002;42910;;0.00
C17294;PLN003;42911;43276;0.00
C359205;PLN005;42911;43276;0.00
C178635;PLN002;42912;;0.00
C30394;PLN002;42913;;0.08
C370125;PLN003;42913;43278;0.00
C245872;PLN004;42914;43279;0.00
C296494;PLN005;42914;43279;0.02
C345703;PLN004;42914;43279;0.00
C368808;PLN006;42914;43279;0.00
C415510;PLN004;42914;43279;0.00
C418251;PLN004;42914;43279;0.00
C456310;PLN005;42914;43279;0.00
C200897;PLN006;42915;43280;0.00
C244882;PLN001;42915;;0.00
C253419;PLN005;42915;43280;0.06
C373985;PLN006;42915;43280;0.00
C190312;PLN004;42916;43281;0.00
C217768;PLN004;42916;43281;0.00
C344216;PLN002;42916;;0.00
C440621;PLN003;42916;43281;0.02
C441975;PLN003;42916;43281;0.01
C457945;PLN006;42742;43107;0.00
C112706;PLN004;42773;43138;0.00
C117771;PLN006;42773;43138;0.00
C34622;PLN001;42773;;0.00
C35387;PLN006;42801;43166;0.00
C425746;PLN001;42801;;0.00
C137348;PLN003;42832;43197;0.00
C328787;PLN003;42832;43197;0.00
C383528;PLN005;42832;43197;0.00
C175377;PLN001;42862;;0.00
C314257;PLN003;42862;43227;0.00
C101644;PLN003;42893;43258;0.00
C140019;PLN004;42893;43258;0.01
C218376;PLN003;42893;43258;0.00
C299949;PLN004;42893;43258;0.00
C388327;PLN003;42893;43258;0.00
C3962;PLN002;42893;;0.00
C400199;PLN005;42893;43258;0.00
C295680;PLN006;42923;43288;0.00
C31687;PLN003;42923;43288;0.10
C448404;PLN004;42923;43288;0.00
C181467;PLN006;42954;43319;0.00
C194834;PLN004;42954;43319;0.00
C318009;PLN002;42954;;0.03
C356281;PLN005;42954;43319;0.00
C387926;PLN006;42954;43319;0.00
C408569;PLN004;42954;43319;0.00
C425151;PLN003;42954;43319;0.00
C123228;PLN004;42985;43350;0.00
C170096;PLN005;42985;43350;0.02
C176426;PLN004;42985;43350;0.00
C246829;PLN003;42985;43350;0.00
C239759;PLN001;43015;;0.00
C25344;PLN005;43015;43380;0.00
C321782;PLN005;43015;43380;0.00
C388018;PLN006;43015;43380;0.00
C166900;PLN001;43046;;0.00
C253419;PLN003;43046;43411;0.00
C309133;PLN001;43046;;0.00
C342131;PLN006;43046;43411;0.00
C160219;PLN003;43076;43441;0.00
C225094;PLN002;43076;;0.00
C392735;PLN006;43076;43441;0.00
C394129;PLN002;43076;;0.00
C435126;PLN004;43076;43441;0.09
C45537;PLN002;43076;;0.00
C165798;PLN006;42929;43294;0.00
C291060;PLN001;42929;;0.00
C455044;PLN003;42929;43294;0.00
C414663;PLN002;42930;;0.00
C437941;PLN006;42930;43295;0.08
C169786;PLN004;42931;43296;0.00
C380587;PLN002;42931;;0.07
C398336;PLN006;42931;43296;0.10
C226856;PLN006;42932;43297;0.00
C251323;PLN005;42932;43297;0.00
C168000;PLN005;42933;43298;0.00
C26284;PLN003;42933;43298;0.00
C294272;PLN006;42933;43298;0.00
C430300;PLN001;42933;;0.07
C13755;PLN003;42934;43299;0.00
C37219;PLN005;42934;43299;0.00
C186256;PLN003;42935;43300;0.00
C277094;PLN005;42935;43300;0.00
C329922;PLN004;42935;43300;0.00
C373672;PLN005;42935;43300;0.00
C395063;PLN006;42935;43300;0.00
C102570;PLN006;42936;43301;0.00
C239681;PLN002;42936;;0.08
C308671;PLN006;42936;43301;0.00
C422205;PLN004;42936;43301;0.00
C231964;PLN004;42937;43302;0.00
C293239;PLN003;42937;43302;0.00
C146394;PLN005;42938;43303;0.00
C259716;PLN001;42938;;0.00
C144680;PLN001;42939;;0.00
C221834;PLN003;42939;43304;0.00
C341666;PLN001;42940;;0.00
C100811;PLN004;42941;43306;0.00
C308927;PLN001;42941;;0.00
C341997;PLN005;42941;43306;0.00
C205901;PLN006;42942;43307;0.00
C272013;PLN003;42942;43307;0.00
C388542;PLN005;42942;43307;0.00
C259603;PLN003;42943;43308;0.00
C260739;PLN003;42943;43308;0.00
C451614;PLN004;42943;43308;0.00
C15822;PLN006;42944;43309;0.00
C299055;PLN005;42944;43309;0.00
C32600;PLN004;42944;43309;0.00
C449592;PLN003;42944;43309;0.00
C210859;PLN004;42945;43310;0.00
C306527;PLN001;42945;;0.00
C320248;PLN003;42945;43310;0.00
C251071;PLN002;42946;;0.00
C27974;PLN003;42743;43108;0.03
C412288;PLN006;42743;43108;0.00
C433957;PLN006;42743;43108;0.00
C138196;PLN003;42774;43139;0.00
C191786;PLN003;42774;43139;0.00
C195903;PLN006;42774;43139;0.00
C20307;PLN001;42774;;0.00
C293846;PLN003;42774;43139;0.00
C124251;PLN004;42802;43167;0.00
C192233;PLN002;42802;;0.00
C209029;PLN005;42802;43167;0.00
C318550;PLN005;42802;43167;0.00
C110001;PLN003;42833;43198;0.00
C119072;PLN005;42833;43198;0.00
C191959;PLN003;42833;43198;0.10
C259617;PLN005;42833;43198;0.00
C312295;PLN005;42833;43198;0.00
C428775;PLN005;42833;43198;0.06
C201224;PLN003;42863;43228;0.05
C335109;PLN004;42863;43228;0.00
C397548;PLN004;42863;43228;0.00
C137770;PLN004;42894;43259;0.00
C221191;PLN003;42894;43259;0.00
